Protein; clone 1A; clone 1C; clone 2A; clone 2B; clone 2C; clone 2D; clone 3A; clone 3B
Proteasome subunit beta type OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_1650 PE=3 SV=1 ;1 ;1 ;0 ;0 ;0 ;0 ;0 ;0
Protein disulfide-isomerase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_36_6940 PE=3 SV=1 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0
Protein tyrosine phosphatase-like protein OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_16_0230 PE=4 SV=1 ;1 ;1 ;0 ;1 ;1 ;1 ;0 ;1
Putative 2-hydroxy-3-oxopropionate reductase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_29_0180 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative 26S protease regulatory subunit OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_03_0540 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;1
Putative 3'-nucleotidase/nuclease OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_12_0400 PE=4 SV=1 ;0 ;1 ;1 ;1 ;1 ;1 ;0 ;1
Putative 40S ribosomal protein L14 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_22_1520 PE=4 SV=1 ;0 ;0 ;0 ;1 ;1 ;1 ;0 ;0
Putative 40S ribosomal protein S11 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_20_1650 PE=3 SV=1 ;0 ;1 ;1 ;1 ;0 ;1 ;0 ;0
Putative 40S ribosomal protein S15A OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_1800 PE=3 SV=1 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;1
Putative 40S ribosomal protein S3 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_15_0950 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative 40S ribosomal protein S4 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_13_1220 PE=3 SV=1 ;0 ;0 ;1 ;1 ;1 ;1 ;1 ;0
Putative 5-methyltetrahydropteroyltriglutamate--homocyst ei nemethyltransferase OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_30_0010 PE=3 SV=1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0
Putative 60S ribosomal protein L10 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_04_0750 PE=4 SV=1 ;1 ;0 ;0 ;1 ;0 ;1 ;0 ;0
Putative 60S ribosomal protein L13 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_08_29_2460 PE=3 SV=1 ;0 ;0 ;1 ;1 ;1 ;0 ;1 ;0
Putative 60S ribosomal protein L13a OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_15_0200 PE=3 SV=1 ;0 ;0 ;0 ;1 ;1 ;1 ;1 ;0
Putative 60S ribosomal protein L19 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_06_0410 PE=3 SV=1 ;0 ;0 ;0 ;1 ;1 ;0 ;0 ;0
Putative 60S ribosomal protein L2 OS=Leishmania mexicana (strain MHOM/GT/2001/U1103) OX=929439 GN=LMXM_31_3900 PE=4 SV=1 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0
